N_Accesion,Serotype,Country,Location,Year
KP191526,DENV_2,China,NA,2014
KP191527,DENV_2,China,NA,2014
KP191525,DENV_2,China,NA,2014
KP191529,DENV_2,China,NA,2014
KJ417843,DENV_1,Russia,NA,2012
KP191493,DENV_1,China,NA,2014
KP191494,DENV_1,China,NA,2014
KP191501,DENV_1,China,NA,2014
KC316014,DENV_1,New Caledonia,NA,2012
JN380810,DENV_3,Singapore,NA,2009
JN380809,DENV_3,Singapore,NA,2009
JN380808,DENV_3,Singapore,NA,2009
JX093684,DENV_1,Viet Nam,NA,2011
JX093699,DENV_1,Viet Nam,NA,2011
KP757174,DENV_1,Pakistan,NA,2011
KT239367,DENV_4,Pakistan,NA,NA
KP979771,DENV_1,Philippines,NA,2014
JQ065930,DENV_1,Mexico,NA,2010
AY422782,DENV_1,Philippines,NA,2002
AY780642,DENV_1,United States,NA,NA
AY780643,DENV_1,Peru,NA,NA
AY780644,DENV_4,Thailand,NA,NA
AY871813,DENV_2,China,Zhejiang,2004
EU282328,DENV_1,France,Reunion,2004
FJ687475,DENV_1,South Korea,NA,2006
JX093618,DENV_2,Viet Nam,NA,2011
JN379472,DENV_1,Barbados,NA,2003
JN638329,DENV_1,Thailand,NA,1986
JF297570,DENV_1,Thailand,NA,1960
JN092553,DENV_4,Brazil,NA,2011
JN544414,DENV_4,Singapore,NA,2011
JN030343,DENV_2,Singapore,NA,2010
AB550408,DENV_1,Indonesia,Surabaya,2009
JX556922,DENV_4,Viet Nam,Mekong Delta,2011
JQ403524,DENV_2,Taiwan,NA,2010
JX476032,DENV_4,Puerto Rico,NA,2010
JF968043,DENV_2,Saint Vincent and the Grenadines,NA,2010
JF968044,DENV_2,Indonesia,NA,2010
JX891658,DENV_1,NA,NA,2003
JN832500,DENV_4,French Polynesia,Tahiti,1982
JN832506,DENV_4,French Polynesia,French Polynesia,1988
JN568248,DENV_2,Australia,NA,2003
JN415532,DENV_1,Australia,NA,2009
JN575585,DENV_4,Timor,East Timor,2000
JN575591,DENV_4,Philippines,NA,2004
JX556940,DENV_4,Viet Nam,Mekong Delta,2011
JQ013408,DENV_2,Puerto Rico,NA,2007
HM210481,DENV_2,Venezuela,Aragua,2005
JF967762,DENV_4,Indonesia,NA,2008
JX402209,DENV_1,Puerto Rico,NA,2010
JF967773,DENV_4,Pakistan,NA,2009
JF967786,DENV_4,Philippines,NA,2010
JF967792,DENV_4,Myanmar,NA,2010
DQ181846,DENV_2,Thailand,Bangkok,1988
DQ181856,DENV_2,Thailand,Bangkok,1993
AY732464,DENV_1,Thailand,Kamphaeng Phet,2001
DQ181807,DENV_2,Thailand,Bangkok,1980
DQ016654,DENV_1,India,NA,NA
DQ016656,DENV_1,Nicaragua,NA,NA
DQ518639,DENV_2,Viet Nam,NA,2005
DQ518642,DENV_2,Viet Nam,NA,2004
DQ518643,DENV_2,Philippines,NA,1994
DQ917242,DENV_2,Peru,NA,1995
DQ917244,DENV_2,Cote d'Ivoire,Ivory Coast,1980
EU045312,DENV_2,Paraguay,NA,2005
EF436279,DENV_4,China,NA,1978
AY589692,DENV_1,Myanmar,NA,NA
GQ139573,DENV_4,Ecuador,NA,2000
AM746226,DENV_2,Saudi Arabia,Jeddah,1994
EU005258,DENV_2,Ghana,NA,2005
AB111086,DENV_4,India,NA,1996
AB111452,DENV_2,Sri Lanka,NA,2000
FJ931535,DENV_2,Mexico,NA,2005
AF425622,DENV_1,Malaysia,NA,1972
AF425625,DENV_1,Nigeria,NA,1968
AF425627,DENV_1,Philippines,NA,1974
AF425612,DENV_1,Australia,NA,1983
AF425619,DENV_1,United States,Hawaii,1945
HM237348,DENV_4,India,Hyderabad,2007
JF297573,DENV_1,India,NA,1962
JF297574,DENV_1,India,NA,1963
JF297578,DENV_1,India,NA,1970
JN029812,DENV_1,China,NA,2010
AY618940,DENV_4,Thailand,Bangkok,NA
AY786199,DENV_4,Viet Nam,NA,NA
JN196578,DENV_2,Singapore,NA,2009
JF804032,DENV_2,Guam,NA,2001
JF804036,DENV_2,Puerto Rico,NA,2007
EU448410,DENV_1,Malaysia,NA,2004
EU448419,DENV_2,Cambodia,NA,2004
FJ807632,DENV_2,India,NA,2004
FJ807634,DENV_2,India,NA,1994
FJ807635,DENV_2,India,NA,2005
FJ807637,DENV_2,India,NA,1996
FJ807638,DENV_2,India,NA,1996
FJ807639,DENV_2,India,NA,1993
KT239348,DENV_1,Pakistan,NA,NA
KP858119,DENV_1,Brazil,Goias,2013
KT012508,DENV_2,Indonesia,Surabaya,2011
KJ939388,DENV_1,China,NA,2013
KJ939367,DENV_1,China,NA,2013
KJ939402,DENV_1,China,NA,2013
KM216699,DENV_2,Indonesia,NA,2010
JQ686066,DENV_4,India,NA,1962
JQ686058,DENV_4,India,NA,1979
AB915384,DENV_1,Indonesia,Surabaya,2013
KJ806918,DENV_2,Malaysia,NA,2013
KJ806910,DENV_2,Malaysia,NA,2013
KT175137,DENV_2,Myanmar,NA,2014
KC848581,DENV_2,Somalia,NA,2011
KC848580,DENV_1,Somalia,NA,2011
KF752596,DENV_2,Argentina,NA,2012
KM279408,DENV_2,Puerto Rico,NA,2013
AB873104,DENV_1,Cambodia,NA,2013
KJ415093,DENV_4,Brazil,NA,2013
KF364513,DENV_2,India,NA,2010
HQ336219,DENV_3,Yemen,NA,2010
DQ118887,DENV_3,Paraguay,NA,NA
KM651778,DENV_3,China,NA,2013
JQ993232,DENV_3,Thailand,NA,2005
JN036390,DENV_3,Bangladesh,Dhaka,2006
JF804049,DENV_3,Samoa,NA,1995
DQ518674,DENV_3,Indonesia,NA,1991
KF041250,DENV_3,Pakistan,Karachi,2006
DQ453981,DENV_3,Timor,East Timor,2005
AB111085,DENV_3,Japan,NA,1973
AY338493,DENV_3,Malaysia,NA,1994
AY676385,DENV_3,Thailand,Bangkok,1980
AY676407,DENV_3,Thailand,Bangkok,2001
