"","N_Accesion","gi","Title","Serotype","Genotype","Gene","Size_sequence","Country","Location","Year","Month","lat_country","lon_country","locationtype_country","formatted_country","lat_location","lon_location","locationtype_location","formatted_location","Comments"
"1","KJ651912",756419614,"Dengue_virus_1_isolate_BR_Alfenas_2012_envelope_protein_gene_partial_cds","DENV_1",NA,"E",1485,"Brazil",NA,2012,NA,-14.235004,-51.92528,"APPROXIMATE","Brazil",NA,NA,NA,NA,"Brazil_2012_isolated_in_C636_cells_4th_passage"
"2","KJ651911",756419612,"Dengue_virus_1_isolate_BR_Alfenas_2012_nonstructural_5_protein_gene_partial_cds","DENV_1",NA,"NS5",789,"Brazil",NA,2012,NA,-14.235004,-51.92528,"APPROXIMATE","Brazil",NA,NA,NA,NA,"Brazil_2012_isolated_in_C636_cells_4th_passage"
"3","KT186271",1028913217,"Dengue_virus_4_isolate_SG_EHI_D4_24293Y13_3_UTR","DENV_4",NA,"3_UTR",289,"Singapore",NA,2013,"Jun",1.352083,103.819836,"APPROXIMATE","Singapore",NA,NA,NA,NA,"Singapore_human_serum_Jun_2013"
"4","KT186270",1028913216,"Dengue_virus_4_isolate_SG_EHI_D4_14267Y13_3_UTR","DENV_4",NA,"3_UTR",289,"Singapore",NA,2013,"Apr",1.352083,103.819836,"APPROXIMATE","Singapore",NA,NA,NA,NA,"Singapore_human_serum_Apr_2013"
"5","KT186269",1028913215,"Dengue_virus_4_isolate_SG_EHI_D4_10886Y14_3_UTR","DENV_4",NA,"3_UTR",289,"Singapore",NA,2014,"Mar",1.352083,103.819836,"APPROXIMATE","Singapore",NA,NA,NA,NA,"Singapore_human_serum_Mar_2014"
"6","KT186268",1028913214,"Dengue_virus_4_isolate_SG_EHI_D4_02990Y14_3_UTR","DENV_4",NA,"3_UTR",289,"Singapore",NA,2014,"Jan",1.352083,103.819836,"APPROXIMATE","Singapore",NA,NA,NA,NA,"Singapore_human_serum_Jan_2014"
"7","KT186267",1028913213,"Dengue_virus_4_isolate_SG_EHI_D4_51834Y11_3_UTR","DENV_4",NA,"3_UTR",289,"Singapore",NA,2011,"Dec",1.352083,103.819836,"APPROXIMATE","Singapore",NA,NA,NA,NA,"Singapore_human_serum_Dec_2011"
"8","KT186266",1028913212,"Dengue_virus_4_isolate_SG_EHI_D4_46870Y11_3_UTR","DENV_4",NA,"3_UTR",289,"Singapore",NA,2011,"Nov",1.352083,103.819836,"APPROXIMATE","Singapore",NA,NA,NA,NA,"Singapore_human_serum_Nov_2011"
"9","KT186265",1028913211,"Dengue_virus_4_isolate_SG_EHI_D4_30182Y11_3_UTR","DENV_4",NA,"3_UTR",289,"Singapore",NA,2011,"Jul",1.352083,103.819836,"APPROXIMATE","Singapore",NA,NA,NA,NA,"Singapore_human_serum_Jul_2011"
"10","KT186264",1028913210,"Dengue_virus_4_isolate_SG_EHI_D4_15981Y13_3_UTR","DENV_4",NA,"3_UTR",289,"Singapore",NA,2013,"Apr",1.352083,103.819836,"APPROXIMATE","Singapore",NA,NA,NA,NA,"Singapore_human_serum_Apr_2013"
"11","KT186263",1028913209,"Dengue_virus_2_isolate_SG_EHI_D2_38434Y14_3_UTR","DENV_2",NA,"3_UTR",269,"Singapore",NA,2014,"Sep",1.352083,103.819836,"APPROXIMATE","Singapore",NA,NA,NA,NA,"Singapore_human_serum_Sep_2014"
"12","KT186262",1028913208,"Dengue_virus_2_isolate_SG_EHI_D2_38070Y14_3_UTR","DENV_2",NA,"3_UTR",269,"Singapore",NA,2014,"Sep",1.352083,103.819836,"APPROXIMATE","Singapore",NA,NA,NA,NA,"Singapore_human_serum_Sep_2014"
"13","KT186261",1028913207,"Dengue_virus_2_isolate_SG_EHI_D2_33428Y14_3_UTR","DENV_2",NA,"3_UTR",250,"Singapore",NA,2014,"Aug",1.352083,103.819836,"APPROXIMATE","Singapore",NA,NA,NA,NA,"Singapore_human_serum_Aug_2014"
"14","KT186260",1028913206,"Dengue_virus_2_isolate_SG_EHI_D2_32202Y14_3_UTR","DENV_2",NA,"3_UTR",268,"Singapore",NA,2014,"Aug",1.352083,103.819836,"APPROXIMATE","Singapore",NA,NA,NA,NA,"Singapore_human_serum_Aug_2014"
"15","KT186259",1028913205,"Dengue_virus_2_isolate_SG_EHI_D2_26690Y14_3_UTR","DENV_2",NA,"3_UTR",269,"Singapore",NA,2014,"Jun",1.352083,103.819836,"APPROXIMATE","Singapore",NA,NA,NA,NA,"Singapore_human_serum_Jun_2014"
"16","KT186258",1028913204,"Dengue_virus_2_isolate_SG_EHI_D2_22848Y14_3_UTR","DENV_2",NA,"3_UTR",269,"Singapore",NA,2014,"May",1.352083,103.819836,"APPROXIMATE","Singapore",NA,NA,NA,NA,"Singapore_human_serum_May_2014"
"17","KT186257",1028913203,"Dengue_virus_2_isolate_SG_EHI_D2_17554Y14_3_UTR","DENV_2",NA,"3_UTR",269,"Singapore",NA,2014,"Apr",1.352083,103.819836,"APPROXIMATE","Singapore",NA,NA,NA,NA,"Singapore_human_serum_Apr_2014"
"18","KT186256",1028913202,"Dengue_virus_2_isolate_SG_EHI_D2_03263Y14_3_UTR","DENV_2",NA,"3_UTR",269,"Singapore",NA,2014,"Jan",1.352083,103.819836,"APPROXIMATE","Singapore",NA,NA,NA,NA,"Singapore_human_serum_Jan_2014"
"19","KT186255",1028913201,"Dengue_virus_2_isolate_SG_EHI_D2_48809Y13_3_UTR","DENV_2",NA,"3_UTR",284,"Singapore",NA,2013,"Nov",1.352083,103.819836,"APPROXIMATE","Singapore",NA,NA,NA,NA,"Singapore_human_serum_Nov_2013"
"20","KT186254",1028913200,"Dengue_virus_2_isolate_SG_EHI_D2_26965Y13_3_UTR","DENV_2",NA,"3_UTR",325,"Singapore",NA,2013,"Jun",1.352083,103.819836,"APPROXIMATE","Singapore",NA,NA,NA,NA,"Singapore_human_serum_Jun_2013"
"21","KT186253",1028913199,"Dengue_virus_2_isolate_SG_EHI_D2_19091Y13_3_UTR","DENV_2",NA,"3_UTR",325,"Singapore",NA,2013,"May",1.352083,103.819836,"APPROXIMATE","Singapore",NA,NA,NA,NA,"Singapore_human_serum_May_2013"
"22","KT186252",1028913198,"Dengue_virus_2_isolate_SG_EHI_D2_25218Y12_3_UTR","DENV_2",NA,"3_UTR",325,"Singapore",NA,2012,"Jun",1.352083,103.819836,"APPROXIMATE","Singapore",NA,NA,NA,NA,"Singapore_human_serum_Jun_2012"
"23","KT186251",1028913197,"Dengue_virus_2_isolate_SG_EHI_D2_02458Y12_3_UTR","DENV_2",NA,"3_UTR",270,"Singapore",NA,2012,"Jan",1.352083,103.819836,"APPROXIMATE","Singapore",NA,NA,NA,NA,"Singapore_human_serum_Jan_2012"
"24","KT186250",1028913196,"Dengue_virus_2_isolate_SG_EHI_D2_29164Y11_3_UTR","DENV_2",NA,"3_UTR",325,"Singapore",NA,2011,"Jul",1.352083,103.819836,"APPROXIMATE","Singapore",NA,NA,NA,NA,"Singapore_human_serum_Jul_2011"
"25","KT186249",1028913195,"Dengue_virus_2_isolate_SG_EHI_D2_40520Y14_3_UTR","DENV_2",NA,"3_UTR",272,"Singapore",NA,2014,"Oct",1.352083,103.819836,"APPROXIMATE","Singapore",NA,NA,NA,NA,"Singapore_human_serum_Oct_2014"
"26","KT186248",1028913194,"Dengue_virus_2_isolate_SG_EHI_D2_21760Y14_3_UTR","DENV_2",NA,"3_UTR",286,"Singapore",NA,2014,"May",1.352083,103.819836,"APPROXIMATE","Singapore",NA,NA,NA,NA,"Singapore_human_serum_May_2014"
"27","KT186247",1028913193,"Dengue_virus_2_isolate_SG_EHI_D2_19386Y14_3_UTR","DENV_2",NA,"3_UTR",269,"Singapore",NA,2014,"May",1.352083,103.819836,"APPROXIMATE","Singapore",NA,NA,NA,NA,"Singapore_human_serum_May_2014"
