Column,gi,N_Accesion,Title,Gene,Serotype,Genotype,Size_sequence,Country,Localization,Year,Month,Comments
1,756419614,KJ651912,Dengue_virus_1_isolate_BR_Alfenas_2012_envelope_protein_gene_partial_cds,E,DENV_1,NA,1485,Brazil,NA,2012,NA,Brazil_2012_isolated_in_C636_cells_4th_passage
2,756419612,KJ651911,Dengue_virus_1_isolate_BR_Alfenas_2012_nonstructural_5_protein_gene_partial_cds,NS5,DENV_1,NA,789,Brazil,NA,2012,NA,Brazil_2012_isolated_in_C636_cells_4th_passage
3,1028913217,KT186271,Dengue_virus_4_isolate_SG_EHI_D4_24293Y13_3_UTR,3_UTR,DENV_4,NA,289,Singapore,NA,2013,Jun,Singapore_human_serum_Jun_2013
4,1028913216,KT186270,Dengue_virus_4_isolate_SG_EHI_D4_14267Y13_3_UTR,3_UTR,DENV_4,NA,289,Singapore,NA,2013,Apr,Singapore_human_serum_Apr_2013
5,1028913215,KT186269,Dengue_virus_4_isolate_SG_EHI_D4_10886Y14_3_UTR,3_UTR,DENV_4,NA,289,Singapore,NA,2014,Mar,Singapore_human_serum_Mar_2014
6,1028913214,KT186268,Dengue_virus_4_isolate_SG_EHI_D4_02990Y14_3_UTR,3_UTR,DENV_4,NA,289,Singapore,NA,2014,Jan,Singapore_human_serum_Jan_2014
7,1028913213,KT186267,Dengue_virus_4_isolate_SG_EHI_D4_51834Y11_3_UTR,3_UTR,DENV_4,NA,289,Singapore,NA,2011,Dec,Singapore_human_serum_Dec_2011
8,1028913212,KT186266,Dengue_virus_4_isolate_SG_EHI_D4_46870Y11_3_UTR,3_UTR,DENV_4,NA,289,Singapore,NA,2011,Nov,Singapore_human_serum_Nov_2011
9,1028913211,KT186265,Dengue_virus_4_isolate_SG_EHI_D4_30182Y11_3_UTR,3_UTR,DENV_4,NA,289,Singapore,NA,2011,Jul,Singapore_human_serum_Jul_2011
10,1028913210,KT186264,Dengue_virus_4_isolate_SG_EHI_D4_15981Y13_3_UTR,3_UTR,DENV_4,NA,289,Singapore,NA,2013,Apr,Singapore_human_serum_Apr_2013
11,1028913209,KT186263,Dengue_virus_2_isolate_SG_EHI_D2_38434Y14_3_UTR,3_UTR,DENV_2,NA,269,Singapore,NA,2014,Sep,Singapore_human_serum_Sep_2014
12,1028913208,KT186262,Dengue_virus_2_isolate_SG_EHI_D2_38070Y14_3_UTR,3_UTR,DENV_2,NA,269,Singapore,NA,2014,Sep,Singapore_human_serum_Sep_2014
13,1028913207,KT186261,Dengue_virus_2_isolate_SG_EHI_D2_33428Y14_3_UTR,3_UTR,DENV_2,NA,250,Singapore,NA,2014,Aug,Singapore_human_serum_Aug_2014
14,1028913206,KT186260,Dengue_virus_2_isolate_SG_EHI_D2_32202Y14_3_UTR,3_UTR,DENV_2,NA,268,Singapore,NA,2014,Aug,Singapore_human_serum_Aug_2014
15,1028913205,KT186259,Dengue_virus_2_isolate_SG_EHI_D2_26690Y14_3_UTR,3_UTR,DENV_2,NA,269,Singapore,NA,2014,Jun,Singapore_human_serum_Jun_2014
16,1028913204,KT186258,Dengue_virus_2_isolate_SG_EHI_D2_22848Y14_3_UTR,3_UTR,DENV_2,NA,269,Singapore,NA,2014,May,Singapore_human_serum_May_2014
17,1028913203,KT186257,Dengue_virus_2_isolate_SG_EHI_D2_17554Y14_3_UTR,3_UTR,DENV_2,NA,269,Singapore,NA,2014,Apr,Singapore_human_serum_Apr_2014
18,1028913202,KT186256,Dengue_virus_2_isolate_SG_EHI_D2_03263Y14_3_UTR,3_UTR,DENV_2,NA,269,Singapore,NA,2014,Jan,Singapore_human_serum_Jan_2014
19,1028913201,KT186255,Dengue_virus_2_isolate_SG_EHI_D2_48809Y13_3_UTR,3_UTR,DENV_2,NA,284,Singapore,NA,2013,Nov,Singapore_human_serum_Nov_2013
20,1028913200,KT186254,Dengue_virus_2_isolate_SG_EHI_D2_26965Y13_3_UTR,3_UTR,DENV_2,NA,325,Singapore,NA,2013,Jun,Singapore_human_serum_Jun_2013
21,1028913199,KT186253,Dengue_virus_2_isolate_SG_EHI_D2_19091Y13_3_UTR,3_UTR,DENV_2,NA,325,Singapore,NA,2013,May,Singapore_human_serum_May_2013
22,1028913198,KT186252,Dengue_virus_2_isolate_SG_EHI_D2_25218Y12_3_UTR,3_UTR,DENV_2,NA,325,Singapore,NA,2012,Jun,Singapore_human_serum_Jun_2012
23,1028913197,KT186251,Dengue_virus_2_isolate_SG_EHI_D2_02458Y12_3_UTR,3_UTR,DENV_2,NA,270,Singapore,NA,2012,Jan,Singapore_human_serum_Jan_2012
24,1028913196,KT186250,Dengue_virus_2_isolate_SG_EHI_D2_29164Y11_3_UTR,3_UTR,DENV_2,NA,325,Singapore,NA,2011,Jul,Singapore_human_serum_Jul_2011
25,1028913195,KT186249,Dengue_virus_2_isolate_SG_EHI_D2_40520Y14_3_UTR,3_UTR,DENV_2,NA,272,Singapore,NA,2014,Oct,Singapore_human_serum_Oct_2014
26,1028913194,KT186248,Dengue_virus_2_isolate_SG_EHI_D2_21760Y14_3_UTR,3_UTR,DENV_2,NA,286,Singapore,NA,2014,May,Singapore_human_serum_May_2014
27,1028913193,KT186247,Dengue_virus_2_isolate_SG_EHI_D2_19386Y14_3_UTR,3_UTR,DENV_2,NA,269,Singapore,NA,2014,May,Singapore_human_serum_May_2014
28,1027932077,KU216389,Dengue_virus_1_isolate_AP_12271_2015_polyprotein_gene_partial_cds,C_M,DENV_1,NA,390,India,Pasighat,2015,NA,India_blood_2015
29,1027932075,KU216388,Dengue_virus_1_isolate_AP_12270_2015_polyprotein_gene_partial_cds,C_M,DENV_1,NA,393,India,Pasighat,2015,NA,India_blood_2015
30,1027932073,KU216387,Dengue_virus_1_isolate_AP_12269_2015_polyprotein_gene_partial_cds,C_M,DENV_1,NA,393,India,Pasighat,2015,NA,India_blood_2015
31,1027932071,KU216386,Dengue_virus_1_isolate_AP_12268_2015_polyprotein_gene_partial_cds,C_M,DENV_1,NA,393,India,Pasighat,2015,NA,India_blood_2015
32,1027932069,KU216385,Dengue_virus_1_isolate_AP_12266_2015_polyprotein_gene_partial_cds,C_M,DENV_1,NA,393,India,Pasighat,2015,NA,India_blood_2015
