Column,gi,N_Accesion,Title,Gene,Serotype,Genotype,Size_sequence,Country,Localization,Year,Month,Comments
86,992324583,KT726361,"Dengue virus 3 isolate Cuba_20_2002, complete genome",Complete Genome,Dengue virus 3,III,10663,Cuba,NA,2002,NA,III|Cuba|serum|2002
87,992324581,KT726360,"Dengue virus 3 isolate Cuba_73_2001, complete genome",Complete Genome,Dengue virus 3,III,10663,Cuba,NA,2001,NA,III|Cuba|serum|2001
88,992324579,KT726359,"Dengue virus 3 isolate Cuba_558_2001, complete genome",Complete Genome,Dengue virus 3,III,10663,Cuba,NA,2001,NA,III|Cuba|serum|2001
89,992324577,KT726358,"Dengue virus 3 isolate Cuba_547_2001, complete genome",Complete Genome,Dengue virus 3,III,10663,Cuba,NA,2001,NA,III|Cuba|serum|2001
90,992324575,KT726357,"Dengue virus 3 isolate Cuba_546_2001, complete genome",Complete Genome,Dengue virus 3,III,10663,Cuba,NA,2001,NA,III|Cuba|serum|2001
91,992324573,KT726356,"Dengue virus 3 isolate Cuba_523_2001, complete genome",Complete Genome,Dengue virus 3,III,10663,Cuba,NA,2001,NA,III|Cuba|serum|2001
92,992324571,KT726355,"Dengue virus 3 isolate Cuba_513_2001, complete genome",Complete Genome,Dengue virus 3,III,10663,Cuba,NA,2001,NA,III|Cuba|serum|2001
93,992324569,KT726354,"Dengue virus 3 isolate Cuba_504_2001, complete genome",Complete Genome,Dengue virus 3,III,10663,Cuba,NA,2001,NA,III|Cuba|serum|2001
94,992324567,KT726353,"Dengue virus 3 isolate Cuba_492_2001, complete genome",Complete Genome,Dengue virus 3,III,10663,Cuba,NA,2001,NA,III|Cuba|serum|2001
95,992324565,KT726352,"Dengue virus 3 isolate Cuba_463_2001, complete genome",Complete Genome,Dengue virus 3,III,10663,Cuba,NA,2001,NA,III|Cuba|serum|2001
96,992324563,KT726351,"Dengue virus 3 isolate Cuba_568_2001, complete genome",Complete Genome,Dengue virus 3,III,10663,Cuba,NA,2001,NA,III|Cuba|serum|2001
97,992324561,KT726350,"Dengue virus 3 isolate Cuba_26_2001, complete genome",Complete Genome,Dengue virus 3,III,10663,Cuba,NA,2001,NA,III|Cuba|serum|2001
98,992324559,KT726349,"Dengue virus 3 isolate Cuba_15_2001, complete genome",Complete Genome,Dengue virus 3,III,10663,Cuba,NA,2001,NA,III|Cuba|serum|2001
99,992324557,KT726348,"Dengue virus 3 isolate Cuba_21_2002, complete genome",Complete Genome,Dengue virus 3,III,10663,Cuba,NA,2002,NA,III|Cuba|serum|2002
100,992324555,KT726347,"Dengue virus 3 isolate Cuba_17_2002, complete genome",Complete Genome,Dengue virus 3,III,10663,Cuba,NA,2002,NA,III|Cuba|serum|2002
101,992324553,KT726346,"Dengue virus 3 isolate Cuba_16_2002, complete genome",Complete Genome,Dengue virus 3,III,10663,Cuba,NA,2002,NA,III|Cuba|serum|2002
